Model,Threshold,Accuracy,F1,Precision,Recall,ROC_AUC
Random Forest,0.15,0.9004,0.359,0.3182,0.4118,0.7961
XGBoost,0.09,0.8845,0.2927,0.25,0.3529,0.8032
